strategy,date,action,basket_drawdown_from_1y_high,st_gain,lt_gain,portfolio_value
weekly_gate_15pct,2019-05-24,basket_to_gld,-0.17796142014030147,-37138.97943500313,0.0,574941.4919252647
weekly_gate_15pct,2019-06-07,gld_to_basket,-0.12913277199378914,25073.673171352595,0.0,599415.1499315207
weekly_gate_15pct,2019-06-14,basket_to_gld,-0.15594194627827718,-18452.66959932272,0.0,580381.5178518657
weekly_gate_15pct,2019-06-21,gld_to_basket,-0.1365192913140304,24855.14242041961,0.0,604631.4236120131
weekly_gate_15pct,2020-02-28,basket_to_gld,-0.16419663652043703,165086.54747678095,0.0,764238.980591894
weekly_gate_15pct,2020-03-06,gld_to_basket,-0.14430520645950562,47230.55547948752,0.0,810658.0665353101
weekly_gate_15pct,2020-03-13,basket_to_gld,-0.22721549456050927,-78546.57332873496,0.0,731379.3817133686
weekly_gate_15pct,2020-04-17,gld_to_basket,-0.08164260226798503,78048.5559132552,0.0,808618.5096889972
weekly_gate_15pct,2022-01-21,basket_to_gld,-0.20756691077352563,0.0,934622.9443503857,1674347.9865087802
weekly_gate_15pct,2023-03-17,gld_to_basket,-0.14214405466166113,0.0,100967.48631417518,1461847.7126822372
weekly_gate_15pct,2024-04-19,basket_to_gld,-0.2339379697246584,0.0,1879010.4850798629,3318136.613488203
weekly_gate_15pct,2024-04-26,gld_to_basket,-0.13590331283930168,-66203.658768842,0.0,3248681.0217646416
weekly_gate_15pct,2024-05-03,basket_to_gld,-0.15143576938468428,-58396.23915950069,0.0,3187094.497822535
weekly_gate_15pct,2024-05-10,gld_to_basket,-0.12609894673347055,86052.74598390702,0.0,3269874.0965626356
weekly_gate_15pct,2024-07-26,basket_to_gld,-0.17083624700907485,261583.58496900834,0.0,3527926.2238501124
weekly_gate_15pct,2024-08-16,gld_to_basket,-0.1258793511272308,181649.1101357662,0.0,3705865.7586518927
weekly_gate_15pct,2024-08-30,basket_to_gld,-0.17627170554991956,-213640.18913603574,0.0,3488733.343946341
weekly_gate_15pct,2024-09-27,gld_to_basket,-0.14602428280400126,207100.819452635,0.0,3692138.329235577
weekly_gate_15pct,2025-01-31,basket_to_gld,-0.16359125070442104,-59653.66119953524,0.0,2837424.739044443
weekly_gate_15pct,2025-02-07,gld_to_basket,-0.12068232648838384,58600.85805463372,0.0,2893129.5715019773
weekly_gate_15pct,2025-02-28,basket_to_gld,-0.17430905142748876,-176442.56270265626,0.0,2713970.3217905215
weekly_gate_15pct,2025-05-16,gld_to_basket,-0.1140608817954527,319260.3323063897,0.0,3030197.4234428145
weekly_gate_15pct,2025-05-23,basket_to_gld,-0.15004404291138362,-123074.0124917333,0.0,2904216.2875401303
weekly_gate_15pct,2025-05-30,gld_to_basket,-0.13548843604659289,-57662.348482460715,0.0,2843707.385118612
weekly_gate_15pct,2025-11-21,basket_to_gld,-0.17347289601260585,1144117.825988091,0.0,3983837.3858955964
