strategy_id,size_transform,earn_transform,momentum_power,top_n,cadence,return_mode,cagr,sharpe,max_drawdown,worst_12m,turnover,end_value
size=equal|earn=none|mom=1.5|top=7|weekly|intraday,equal,none,1.5,7,weekly,intraday,0.06423281764624877,0.39628106966481547,-0.3734227013211573,-0.3701322468225562,11.445748972188396,518553.039868104
size=equal|earn=none|mom=1.5|top=7|monthly|close,equal,none,1.5,7,monthly,close,0.4971056946885519,1.5966270473040376,-0.30365810521443204,-0.21645480618776214,5.720546309364269,15589573.394056149
size=equal|earn=none|mom=1.5|top=7|monthly|overnight,equal,none,1.5,7,monthly,overnight,0.39436542946059494,1.977951894726823,-0.16349053491673526,-0.12999085707545255,5.720546309364269,7672437.121043388
size=equal|earn=none|mom=1.5|top=7|monthly|intraday,equal,none,1.5,7,monthly,intraday,0.0667309137603771,0.4003837693220246,-0.4104335486342793,-0.3889437749238901,5.720546309364269,530819.9542015403
size=equal|earn=none|mom=1.5|top=10|weekly|close,equal,none,1.5,10,weekly,close,0.47345015821702985,1.6080931945369323,-0.3187772542342444,-0.22090568476987393,11.294949943282987,13300140.972746309
size=equal|earn=none|mom=1.5|top=10|weekly|overnight,equal,none,1.5,10,weekly,overnight,0.3665694986882455,1.9946589198855842,-0.15950063089399769,-0.12923689251748616,11.294949943282987,6276642.82700366
size=equal|earn=none|mom=1.5|top=10|weekly|intraday,equal,none,1.5,10,weekly,intraday,0.06491903393818999,0.40381867303595226,-0.37380051611003173,-0.37051204569603513,11.294949943282987,521897.03859137127
size=equal|earn=none|mom=1.5|top=10|monthly|close,equal,none,1.5,10,monthly,close,0.480314641465895,1.5853408800974114,-0.30365810521443215,-0.21479412560080102,5.5417742833354,13931119.634458728
size=equal|earn=none|mom=1.5|top=10|monthly|overnight,equal,none,1.5,10,monthly,overnight,0.38424881847596426,1.9786097768950808,-0.1616584868286397,-0.13904472432549697,5.5417742833354,7135045.236523051
size=equal|earn=none|mom=1.5|top=10|monthly|intraday,equal,none,1.5,10,monthly,intraday,0.06271341440069067,0.38709041128912464,-0.4060982350358453,-0.3907924380658385,5.5417742833354,511217.339076782
size=equal|earn=none|mom=1.5|top=12|weekly|close,equal,none,1.5,12,weekly,close,0.46971585522764436,1.6055177616260026,-0.3187772542342443,-0.22090568476987282,11.27267938662481,12967795.508691277
size=equal|earn=none|mom=1.5|top=12|weekly|overnight,equal,none,1.5,12,weekly,overnight,0.3644994505073371,1.997798261115453,-0.1595006308939979,-0.12922175672545377,11.27267938662481,6182471.493449881
size=equal|earn=none|mom=1.5|top=12|weekly|intraday,equal,none,1.5,12,weekly,intraday,0.06385287929478123,0.39965680310224583,-0.37363447146459894,-0.3703451290714358,11.27267938662481,516709.86657827697
size=equal|earn=none|mom=1.5|top=12|monthly|close,equal,none,1.5,12,monthly,close,0.47746721290760874,1.584324727704763,-0.3036581052144317,-0.21531647245390273,5.541461787323133,13666189.007566106
size=equal|earn=none|mom=1.5|top=12|monthly|overnight,equal,none,1.5,12,monthly,overnight,0.3828573108441786,1.981948374413748,-0.16165848682863926,-0.13904472432549875,5.541461787323133,7063841.560277267
size=equal|earn=none|mom=1.5|top=12|monthly|intraday,equal,none,1.5,12,monthly,intraday,0.06171217541594687,0.38333454209997464,-0.40677845216292563,-0.3912140951080464,5.541461787323133,506434.51685548795
size=equal|earn=sqrt|mom=0.0|top=5|weekly|close,equal,sqrt,0.0,5,weekly,close,0.513906078511754,1.764570945865186,-0.2456275002221715,-0.18605024925208946,10.51003080511099,17424659.922595233
size=equal|earn=sqrt|mom=0.0|top=5|weekly|overnight,equal,sqrt,0.0,5,weekly,overnight,0.36532199146410127,2.0476367646266427,-0.1610939108334496,-0.13696731981196386,10.51003080511099,6219737.511594555
size=equal|earn=sqrt|mom=0.0|top=5|weekly|intraday,equal,sqrt,0.0,5,weekly,intraday,0.09582184392221671,0.552080190279541,-0.3510185324987334,-0.34647296087231505,10.51003080511099,694182.0464022143
size=equal|earn=sqrt|mom=0.0|top=5|monthly|close,equal,sqrt,0.0,5,monthly,close,0.46720431940002216,1.6083533081150094,-0.3128260132375036,-0.20780558014273376,5.332252828988155,12748496.279074283
size=equal|earn=sqrt|mom=0.0|top=5|monthly|overnight,equal,sqrt,0.0,5,monthly,overnight,0.36018748456871563,1.9370308774718816,-0.1856862850756883,-0.15559668618248446,5.332252828988155,5990380.365563897
size=equal|earn=sqrt|mom=0.0|top=5|monthly|intraday,equal,sqrt,0.0,5,monthly,intraday,0.07231993823268756,0.43923100412984994,-0.4138779897344762,-0.39494997669187026,5.332252828988155,559215.4982366505
size=equal|earn=sqrt|mom=0.0|top=7|weekly|close,equal,sqrt,0.0,7,weekly,close,0.4773352106776063,1.7272320821480784,-0.26879083357403666,-0.21345600146728683,10.35958634791664,13654017.938535104
size=equal|earn=sqrt|mom=0.0|top=7|weekly|overnight,equal,sqrt,0.0,7,weekly,overnight,0.3368598050525975,2.002216765636344,-0.1659547040864614,-0.14225669389766005,10.35958634791664,5041200.878877384
size=equal|earn=sqrt|mom=0.0|top=7|weekly|intraday,equal,sqrt,0.0,7,weekly,intraday,0.09223839451631433,0.5489752133639858,-0.3318697886919968,-0.328519336606359,10.35958634791664,671873.863169604
size=equal|earn=sqrt|mom=0.0|top=7|monthly|close,equal,sqrt,0.0,7,monthly,close,0.4460748601680382,1.5931523735488677,-0.31201022179595694,-0.19222869984895286,5.2679098262175925,11031529.941198992
