Date,AAPL,ADBE,AMD,AMZN,ANET,AVGO,BIL,CEG,CRM,GEV,GOOGL,IEF,META,MRVL,MSFT,MU,NFLX,NVDA,ORCL,QCOM,QQQ,SNDK,SPY,STX,TSLA,VRT,VST
2015-12-24,24.312238693237305,94.30000305175781,2.9200000762939453,33.13949966430664,4.688125133514404,11.14443588256836,73.62989044189453,,76.50639343261719,,37.9554443359375,83.7114028930664,104.10578918457031,8.287578582763672,48.52912521362305,14.122156143188477,11.732999801635742,0.8081162571907043,31.622053146362305,37.008880615234375,104.47285461425781,,173.40023803710938,22.955472946166992,15.371333122253418,,
2015-12-28,24.039928436279297,94.19999694824219,3.0,33.7599983215332,4.877500057220459,11.146721839904785,73.61376190185547,,76.87010955810547,,38.76823043823242,83.72723388671875,105.00788116455078,8.168132781982422,48.77321243286133,13.839324951171875,11.711000442504883,0.8073851466178894,31.43406867980957,37.031280517578125,104.41720581054688,,173.0039825439453,23.011842727661133,15.263333320617676,,
2015-12-29,24.47202491760254,95.33000183105469,3.0,34.69850158691406,4.918749809265137,11.267823219299316,73.61376190185547,,78.08902740478516,,39.349082946777344,83.28482818603516,106.32628631591797,8.232447624206543,49.29624938964844,13.985618591308594,11.911999702453613,0.8205413222312927,31.64768409729004,38.00225067138672,106.05958557128906,,174.8502960205078,23.268640518188477,15.812666893005371,,
2015-12-30,24.15245246887207,95.27999877929688,2.9800000190734863,34.45349884033203,4.921875,11.224409103393555,73.62989044189453,,77.79412078857422,,39.16769027709961,83.31641387939453,105.29534912109375,8.048691749572754,49.08704376220703,13.810063362121582,11.670999526977539,0.813476026058197,31.54515266418457,37.65119934082031,105.10384368896484,,173.61097717285156,23.287429809570312,15.87266731262207,,
2015-12-31,23.688854217529297,93.94000244140625,2.869999885559082,33.794498443603516,4.864999771118164,11.05532455444336,73.61376190185547,,77.06670379638672,,38.558597564697266,83.41123962402344,103.74891662597656,8.1038179397583,48.363494873046875,13.810063362121582,11.437999725341797,0.8030002117156982,31.21192741394043,37.33751678466797,103.79550170898438,,171.87420654296875,22.96173095703125,16.000667572021484,,
2016-01-04,23.709108352661133,91.97000122070312,2.7699999809265137,31.84950065612793,4.837500095367432,10.836730003356934,73.62989044189453,,75.40544128417969,,37.63825225830078,83.76675415039062,101.33016967773438,8.085444450378418,47.77071762084961,13.97586441040039,10.996000289916992,0.788625955581665,30.671419143676758,37.434608459472656,101.60565948486328,,169.4715576171875,22.71746253967285,14.894000053405762,,
2016-01-05,23.11496925354004,92.33999633789062,2.75,31.68950080871582,4.892499923706055,10.474188804626465,73.62989044189453,,75.73966979980469,,37.74183654785156,83.74300384521484,101.8357162475586,7.828175067901611,47.98866271972656,14.453754425048828,10.765999794006348,0.80129474401474,30.57704734802246,36.702632904052734,101.42933654785156,,169.7581787109375,22.755041122436523,14.895333290100098,,
2016-01-06,22.662614822387695,91.0199966430664,2.509999990463257,31.63249969482422,4.595624923706055,10.152009010314941,73.59770202636719,,74.99259185791016,,37.63280487060547,84.2486572265625,102.0736312866211,7.396340847015381,47.1169319152832,13.868583679199219,11.767999649047852,0.7681611180305481,30.73147964477539,36.32919692993164,100.45503997802734,,167.61688232421875,21.765424728393555,14.602666854858398,,
2016-01-07,21.706151962280273,89.11000061035156,2.2799999713897705,30.39699935913086,4.296875,9.829071998596191,73.61376190185547,,73.03643035888672,,36.7243537902832,84.4302749633789,97.0676040649414,7.469844818115234,45.47807693481445,13.32242202758789,11.456000328063965,0.7377075552940369,30.06229591369629,34.461944580078125,97.30941772460938,,163.59547424316406,21.63388442993164,14.376667022705078,,
2016-01-08,21.8209285736084,87.8499984741211,2.140000104904175,30.352500915527344,4.304375171661377,9.764327049255371,73.61376190185547,,71.98462677001953,,36.22429275512695,84.64358520507812,96.48273468017578,7.552537441253662,45.6175537109375,13.000576972961426,11.138999938964844,0.7218717336654663,29.72769546508789,34.26774978637695,96.51142883300781,,161.7997589111328,20.381200790405273,14.066666603088379,,
2016-01-11,22.17425537109375,89.37999725341797,2.3399999141693115,30.886999130249023,4.250625133514404,9.752140998840332,73.61376190185547,,71.93547821044922,,36.33134460449219,84.37496948242188,96.6611557006836,7.644416332244873,45.591400146484375,12.220348358154297,11.496999740600586,0.7230897545814514,29.976484298706055,34.409664154052734,96.80834197998047,,161.95989990234375,19.635852813720703,13.856666564941406,,
